540,1040,676,162,0,0,2.5,28,7
540,1055,676,162,0,0,2.5,28,6
332.5,932,594,228,142.5,0,0,270,4
332.5,932,594,228,142.5,0,0,365,4
198.6,978.4,825.5,192,132.4,0,0,360,4
266,932,670,228,114,0,0,90,4
380,932,594,228,95,0,0,365,4
380,932,594,228,95,0,0,28,3
266,932,670,228,114,0,0,28,4
475,932,594,228,0,0,0,28,3
198.6,978.4,825.5,192,132.4,0,0,90,3
198.6,978.4,825.5,192,132.4,0,0,28,2
427.5,932,594,228,47.5,0,0,270,4
190,932,670,228,190,0,0,90,4
304,932,670,228,76,0,0,28,4
380,932,670,228,0,0,0,90,5
139.6,1047,806.9,192,209.4,0,0,90,3
342,932,670,228,38,0,0,365,5
380,932,594,228,95,0,0,90,4
475,932,594,228,0,0,0,180,4
427.5,932,594,228,47.5,0,0,180,4
139.6,1047,806.9,192,209.4,0,0,28,2
139.6,1047,806.9,192,209.4,0,0,3,0
139.6,1047,806.9,192,209.4,0,0,180,4
380,932,670,228,0,0,0,365,5
380,932,670,228,0,0,0,270,5
380,932,594,228,95,0,0,270,4
342,932,670,228,38,0,0,180,5
427.5,932,594,228,47.5,0,0,28,3
475,932,594,228,0,0,0,7,3
304,932,670,228,76,0,0,365,5
266,932,670,228,114,0,0,365,5
198.6,978.4,825.5,192,132.4,0,0,180,4
475,932,594,228,0,0,0,270,4
190,932,670,228,190,0,0,365,5
237.5,932,594,228,237.5,0,0,270,3
237.5,932,594,228,237.5,0,0,28,3
332.5,932,594,228,142.5,0,0,90,3
475,932,594,228,0,0,0,90,4
237.5,932,594,228,237.5,0,0,180,3
342,932,670,228,38,0,0,90,5
427.5,932,594,228,47.5,0,0,365,4
237.5,932,594,228,237.5,0,0,365,3
380,932,670,228,0,0,0,180,5
427.5,932,594,228,47.5,0,0,90,4
427.5,932,594,228,47.5,0,0,7,3
349,1047,806.9,192,0,0,0,3,1
380,932,594,228,95,0,0,180,4
237.5,932,594,228,237.5,0,0,7,2
380,932,594,228,95,0,0,7,3
332.5,932,594,228,142.5,0,0,180,3
190,932,670,228,190,0,0,180,4
237.5,932,594,228,237.5,0,0,90,3
304,932,670,228,76,0,0,90,4
139.6,1047,806.9,192,209.4,0,0,7,1
198.6,978.4,825.5,192,132.4,0,0,7,1
475,932,594,228,0,0,0,365,4
198.6,978.4,825.5,192,132.4,0,0,3,0
304,932,670,228,76,0,0,180,5
332.5,932,594,228,142.5,0,0,28,3
304,932,670,228,76,0,0,270,5
266,932,670,228,114,0,0,270,5
310,971,850.6,192,0,0,0,3,0
190,932,670,228,190,0,0,270,5
266,932,670,228,114,0,0,180,4
342,932,670,228,38,0,0,270,5
139.6,1047,806.9,192,209.4,0,0,360,4
332.5,932,594,228,142.5,0,0,7,3
190,932,670,228,190,0,0,28,4
485,1120,800,146,0,0,0,28,7
374,926.1,756.7,170.1,189.2,0,10.1,3,3
313.3,1046.9,611.8,175.5,262.2,0,8.6,3,2
425,852.1,887.1,153.5,106.3,0,16.5,3,3
425,936,803.7,151.4,106.3,0,18.6,3,3
375,852.1,992.6,126.6,93.8,0,23.4,3,2
